run,query_name,attribute,swap_type,swap_index,log_prob
2,e0,a1',entity,0,-6.290773391723633
2,e0,a0,entity,1,-4.143344879150391
2,e0,a1,entity,1,-5.3288726806640625
2,e0,a0',entity,1,-9.160996437072754
2,e0,a1',entity,1,-6.625325679779053
2,e0,a0,attribute,0,-7.6026811599731445
2,e0,a1,attribute,0,-5.261451721191406
2,e0,a0',attribute,0,-1.6047097444534302
2,e0,a1',attribute,0,-5.889928817749023
2,e0,a0,attribute,1,-2.9899423122406006
2,e0,a1,attribute,1,-5.820750713348389
2,e0,a0',attribute,1,-8.837940216064453
2,e0,a1',attribute,1,-6.153161525726318
2,e1,a0,entity,0,-7.304744720458984
2,e1,a1,entity,0,-4.527021408081055
2,e1,a0',entity,0,-10.768879890441895
2,e1,a1',entity,0,-7.354771137237549
2,e1,a0,entity,1,-5.51436185836792
2,e1,a1,entity,1,-3.4160332679748535
2,e1,a0',entity,1,-8.450349807739258
2,e1,a1',entity,1,-5.6255202293396
2,e1,a0,attribute,0,-9.468762397766113
2,e1,a1,attribute,0,-4.158212184906006
2,e1,a0',attribute,0,-5.924037456512451
2,e1,a1',attribute,0,-6.786191940307617
2,e1,a0,attribute,1,-5.235892295837402
2,e1,a1,attribute,1,-3.839320182800293
2,e1,a0',attribute,1,-10.006063461303711
2,e1,a1',attribute,1,-5.634042739868164
2,e0',a0,entity,0,-3.56563138961792
2,e0',a1,entity,0,-4.476364612579346
2,e0',a0',entity,0,-7.115030765533447
2,e0',a1',entity,0,-5.932460308074951
2,e0',a0,entity,1,-4.729257106781006
2,e0',a1,entity,1,-4.60359525680542
2,e0',a0',entity,1,-7.819897174835205
2,e0',a1',entity,1,-6.024034023284912
2,e0',a0,attribute,0,-7.654458999633789
2,e0',a1,attribute,0,-4.713921546936035
2,e0',a0',attribute,0,-2.864896059036255
2,e0',a1',attribute,0,-5.613983154296875
2,e0',a0,attribute,1,-3.868941068649292
2,e0',a1,attribute,1,-5.166985511779785
2,e0',a0',attribute,1,-7.829900741577148
2,e0',a1',attribute,1,-5.741399765014648
