run,query_name,attribute,swap_type,swap_index,log_prob
1,e1,a0',entity,0,-13.211522102355957
1,e1,a1',entity,0,-14.478606224060059
1,e1,a0,entity,1,-15.987136840820312
1,e1,a1,entity,1,-7.400023460388184
1,e1,a0',entity,1,-13.058931350708008
1,e1,a1',entity,1,-14.2235689163208
1,e1,a0,attribute,0,-18.610441207885742
1,e1,a1,attribute,0,-7.769769668579102
1,e1,a0',attribute,0,-13.595440864562988
1,e1,a1',attribute,0,-15.155210494995117
1,e1,a0,attribute,1,-15.90286636352539
1,e1,a1,attribute,1,-7.926803112030029
1,e1,a0',attribute,1,-12.216358184814453
1,e1,a1',attribute,1,-12.302528381347656
1,e0',a0,entity,0,-12.374353408813477
1,e0',a1,entity,0,-12.126253128051758
1,e0',a0',entity,0,-13.380966186523438
1,e0',a1',entity,0,-12.697519302368164
1,e0',a0,entity,1,-12.364309310913086
1,e0',a1,entity,1,-11.93808364868164
1,e0',a0',entity,1,-13.162750244140625
1,e0',a1',entity,1,-12.558292388916016
1,e0',a0,attribute,0,-14.162842750549316
1,e0',a1,attribute,0,-12.041581153869629
1,e0',a0',attribute,0,-13.208813667297363
1,e0',a1',attribute,0,-13.043243408203125
1,e0',a0,attribute,1,-12.42931842803955
1,e0',a1,attribute,1,-12.775269508361816
1,e0',a0',attribute,1,-13.390429496765137
1,e0',a1',attribute,1,-11.93160343170166
1,e1',a0,entity,0,-12.566262245178223
1,e1',a1,entity,0,-12.046463012695312
1,e1',a0',entity,0,-13.434525489807129
1,e1',a1',entity,0,-12.862526893615723
1,e1',a0,entity,1,-12.479080200195312
1,e1',a1,entity,1,-11.544866561889648
1,e1',a0',entity,1,-13.324634552001953
1,e1',a1',entity,1,-12.901773452758789
1,e1',a0,attribute,0,-14.081485748291016
1,e1',a1,attribute,0,-11.933942794799805
1,e1',a0',attribute,0,-13.253128051757812
1,e1',a1',attribute,0,-13.019939422607422
1,e1',a0,attribute,1,-12.329113006591797
1,e1',a1,attribute,1,-12.79372787475586
1,e1',a0',attribute,1,-13.463239669799805
1,e1',a1',attribute,1,-12.119707107543945
2,e0,a0,entity,0,-10.322735786437988
2,e0,a1,entity,0,-11.16346549987793
2,e0,a0',entity,0,-17.41849708557129
2,e0,a1',entity,0,-15.345132827758789
2,e0,a0,entity,1,-10.003785133361816
2,e0,a1,entity,1,-10.99055004119873
2,e0,a0',entity,1,-17.256162643432617
2,e0,a1',entity,1,-15.62688159942627
2,e0,a0,attribute,0,-10.658604621887207
2,e0,a1,attribute,0,-9.885594367980957
2,e0,a0',attribute,0,-13.182211875915527
2,e0,a1',attribute,0,-14.610098838806152
2,e0,a0,attribute,1,-10.416254043579102
2,e0,a1,attribute,1,-14.239571571350098
2,e0,a0',attribute,1,-17.37738800048828
2,e0,a1',attribute,1,-15.083833694458008
2,e1,a0,entity,0,-13.12681770324707
2,e1,a1,entity,0,-8.124764442443848
2,e1,a0',entity,0,-18.028121948242188
2,e1,a1',entity,0,-15.678139686584473
2,e1,a0,entity,1,-12.99061393737793
2,e1,a1,entity,1,-7.982785701751709
2,e1,a0',entity,1,-17.305490493774414
2,e1,a1',entity,1,-15.295265197753906
2,e1,a0,attribute,0,-14.094719886779785
2,e1,a1,attribute,0,-7.560471534729004
2,e1,a0',attribute,0,-16.211790084838867
2,e1,a1',attribute,0,-15.57601261138916
2,e1,a0,attribute,1,-12.309185028076172
2,e1,a1,attribute,1,-8.955930709838867
2,e1,a0',attribute,1,-16.35379409790039
2,e1,a1',attribute,1,-13.694314002990723
2,e0',a0,entity,0,-12.983327865600586
2,e0',a1,entity,0,-12.167319297790527
2,e0',a0',entity,0,-17.528095245361328
2,e0',a1',entity,0,-14.26032829284668
2,e0',a0,entity,1,-13.409099578857422
2,e0',a1,entity,1,-11.975622177124023
2,e0',a0',entity,1,-17.057960510253906
2,e0',a1',entity,1,-14.259038925170898
2,e0',a0,attribute,0,-14.270883560180664
2,e0',a1,attribute,0,-11.8512601852417
2,e0',a0',attribute,0,-15.365433692932129
2,e0',a1',attribute,0,-14.159171104431152
2,e0',a0,attribute,1,-13.146382331848145
2,e0',a1,attribute,1,-13.34239673614502
2,e0',a0',attribute,1,-17.019973754882812
2,e0',a1',attribute,1,-13.677833557128906
2,e1',a0,entity,0,-13.516834259033203
2,e1',a1,entity,0,-12.618898391723633
2,e1',a0',entity,0,-17.282522201538086
2,e1',a1',entity,0,-13.938897132873535
2,e1',a0,entity,1,-13.882207870483398
2,e1',a1,entity,1,-12.065950393676758
2,e1',a0',entity,1,-17.531993865966797
2,e1',a1',entity,1,-14.413908958435059
2,e1',a0,attribute,0,-14.51641845703125
2,e1',a1,attribute,0,-12.293380737304688
2,e1',a0',attribute,0,-15.501350402832031
2,e1',a1',attribute,0,-13.92475700378418
2,e1',a0,attribute,1,-13.496212005615234
2,e1',a1,attribute,1,-13.708198547363281
2,e1',a0',attribute,1,-17.108505249023438
2,e1',a1',attribute,1,-13.60694694519043
3,e0,a0,entity,0,-8.746075630187988
3,e0,a1,entity,0,-11.110605239868164
3,e0,a0',entity,0,-16.377513885498047
3,e0,a1',entity,0,-16.79648780822754
3,e0,a0,entity,1,-8.775801658630371
3,e0,a1,entity,1,-11.457077026367188
3,e0,a0',entity,1,-16.51593780517578
3,e0,a1',entity,1,-17.070789337158203
3,e0,a0,attribute,0,-8.748626708984375
3,e0,a1,attribute,0,-10.592988967895508
3,e0,a0',attribute,0,-15.235833168029785
3,e0,a1',attribute,0,-16.667030334472656
3,e0,a0,attribute,1,-8.951859474182129
3,e0,a1,attribute,1,-11.177978515625
3,e0,a0',attribute,1,-16.0917911529541
3,e0,a1',attribute,1,-12.938928604125977
3,e1,a0,entity,0,-11.503061294555664
3,e1,a1,entity,0,-8.156698226928711
3,e1,a0',entity,0,-14.752760887145996
3,e1,a1',entity,0,-16.592851638793945
3,e1,a0,entity,1,-11.151830673217773
3,e1,a1,entity,1,-8.057831764221191
3,e1,a0',entity,1,-14.351234436035156
3,e1,a1',entity,1,-16.05906105041504
3,e1,a0,attribute,0,-11.479207038879395
3,e1,a1,attribute,0,-7.844430923461914
3,e1,a0',attribute,0,-13.811640739440918
3,e1,a1',attribute,0,-16.351526260375977
3,e1,a0,attribute,1,-10.366338729858398
3,e1,a1,attribute,1,-6.835683345794678
3,e1,a0',attribute,1,-13.25560188293457
3,e1,a1',attribute,1,-9.697912216186523
3,e0',a0,entity,0,-10.587688446044922
3,e0',a1,entity,0,-10.97799015045166
3,e0',a0',entity,0,-15.057339668273926
3,e0',a1',entity,0,-15.044097900390625
3,e0',a0,entity,1,-10.54237174987793
