run,query_name,attribute,swap_type,swap_index,log_prob
0,e0,a0,entity,0,-11.238895416259766
0,e0,a1,entity,0,-13.049439430236816
0,e0,a0',entity,0,-14.693300247192383
0,e0,a1',entity,0,-16.75846290588379
0,e0,a0,entity,1,-11.884273529052734
0,e0,a1,entity,1,-14.690793991088867
0,e0,a0',entity,1,-16.883167266845703
0,e0,a1',entity,1,-18.54700469970703
0,e0,a0,attribute,0,-16.979036331176758
0,e0,a1,attribute,0,-14.227750778198242
0,e0,a0',attribute,0,-13.257125854492188
0,e0,a1',attribute,0,-18.818626403808594
0,e0,a0,attribute,1,-10.943097114562988
0,e0,a1,attribute,1,-15.037744522094727
0,e0,a0',attribute,1,-17.668964385986328
0,e0,a1',attribute,1,-17.31719970703125
0,e1,a0,entity,0,-11.64487075805664
0,e1,a1,entity,0,-12.957395553588867
0,e1,a0',entity,0,-16.113832473754883
0,e1,a1',entity,0,-18.238996505737305
0,e1,a0,entity,1,-12.085416793823242
0,e1,a1,entity,1,-11.769667625427246
0,e1,a0',entity,1,-15.213988304138184
0,e1,a1',entity,1,-17.653358459472656
0,e1,a0,attribute,0,-16.671741485595703
0,e1,a1,attribute,0,-12.476725578308105
0,e1,a0',attribute,0,-12.954256057739258
0,e1,a1',attribute,0,-18.657970428466797
0,e1,a0,attribute,1,-11.97037124633789
0,e1,a1,attribute,1,-12.415021896362305
0,e1,a0',attribute,1,-17.110904693603516
0,e1,a1',attribute,1,-16.493364334106445
0,e0',a0,entity,0,-10.921091079711914
0,e0',a1,entity,0,-12.821661949157715
0,e0',a0',entity,0,-14.1736478805542
0,e0',a1',entity,0,-15.436233520507812
0,e0',a0,entity,1,-13.039078712463379
0,e0',a1,entity,1,-13.524356842041016
0,e0',a0',entity,1,-16.180559158325195
0,e0',a1',entity,1,-17.176408767700195
0,e0',a0,attribute,0,-15.665755271911621
0,e0',a1,attribute,0,-12.87045669555664
0,e0',a0',attribute,0,-13.099324226379395
0,e0',a1',attribute,0,-16.97247314453125
0,e0',a0,attribute,1,-12.375065803527832
0,e0',a1,attribute,1,-12.908116340637207
0,e0',a0',attribute,1,-16.132360458374023
0,e0',a1',attribute,1,-15.474130630493164
