sample_id,mse,emd,base_emd,cost_cos,nn_cos,cost_mse,nn_mse,local_pca,lle_recon,kde,base_cost_cos,base_nn_cos,base_cost_mse,base_nn_mse,base_local_pca,base_lle_recon,base_kde,method
0,0.047483135014772415,34.97802734375,27.531749725341797,0.40359383821487427,0.3647576868534088,0.09309619665145874,0.07429017871618271,13.79715181040251,13.772336425608534,557.1982816698695,0.3252871036529541,0.29436635971069336,0.07976458221673965,0.061549849808216095,9.781625224639626,9.588834294498957,424.9869696822497,sae
1,0.047741495072841644,36.61760711669922,26.271581649780273,0.4197544753551483,0.3797323703765869,0.09523936361074448,0.07659061253070831,13.802757541372328,13.78513076090129,513.9633073729163,0.3171655833721161,0.2838084101676941,0.0764160081744194,0.06068868935108185,9.350138056874494,9.151127709245396,439.2834499192077,sae
2,0.04726691171526909,34.343868255615234,28.464305877685547,0.39668145775794983,0.359915167093277,0.09022034704685211,0.07327641546726227,13.520370566796574,13.509542295602023,528.4765769762981,0.3406195342540741,0.3018002212047577,0.08263692259788513,0.06430566310882568,9.996024123133791,9.878156907714136,458.21800803091566,sae
3,0.04748823493719101,35.426456451416016,27.374584197998047,0.4122822880744934,0.3653123080730438,0.09446340799331665,0.07573492079973221,13.652916466327676,13.635025943353295,516.6218300991017,0.33512330055236816,0.29754438996315,0.08111762255430222,0.06437850743532181,9.651333534389387,9.523595813931212,443.00292610004243,sae
4,0.04748525843024254,34.56443786621094,28.462528228759766,0.4016948938369751,0.363948792219162,0.09202034771442413,0.07678043842315674,13.797560330562353,13.786848452512396,505.6132314385831,0.3418869078159332,0.3016534149646759,0.08255201578140259,0.06528250128030777,9.808189489098835,9.6598683410952,435.50318430293447,sae
